Statistical profiling result from ./isolate-0x4096ce0-v8.log, (3463 ticks, 168 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     33    1.0%          /lib/x86_64-linux-gnu/libc-2.23.so
      2    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    440   12.7%   12.8%  Stub: StringAddStub_CheckNone_NotTenured
    398   11.5%   11.6%  Builtin: KeyedLoadIC_Megamorphic
    290    8.4%    8.5%  LazyCompile: *derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
     50    1.4%    1.5%  Stub: StringAddStub_ConvertRight_NotTenured
     48    1.4%    1.4%  Builtin: KeyedLoadIC
     38    1.1%    1.1%  Stub: CEntryStub
     34    1.0%    1.0%  Handler: prototype
     11    0.3%    0.3%  Builtin: KeyedLoadICTrampoline
     10    0.3%    0.3%  Stub: StringAddStub_ConvertLeft_NotTenured
      9    0.3%    0.3%  Handler: prototype {1}
      3    0.1%    0.1%  Function: ~normalizeStringPosix path.js:99:30
      2    0.1%    0.1%  Function: ~set native collection.js:247:16
      2    0.1%    0.1%  Function: ~Module._resolveLookupPaths module.js:331:38
      1    0.0%    0.0%  Stub: StoreFastElementStub
      1    0.0%    0.0%  Function: ~tryFile module.js:136:17
      1    0.0%    0.0%  Function: ~nextPart fs.js:1575:31
      1    0.0%    0.0%  Function: ~derez /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/cycle/cycle.js:46:27
      1    0.0%    0.0%  Function: ~createServerErrorConstructor /home/ukrbublik/projs/habr_arcticle_1/0-profiling/node_modules/http-errors/index.js:178:39
      1    0.0%    0.0%  Function: ~basename path.js:1380:30
      1    0.0%    0.0%  Builtin: StringPrototypeSlice
      1    0.0%    0.0%  Builtin: StringCharCodeAt
      1    0.0%    0.0%  Builtin: ObjectHasOwnProperty
      1    0.0%    0.0%  Builtin: InterpreterEntryTrampoline

 [C++]:
   ticks  total  nonlib   name
    287    8.3%    8.4%  v8::internal::IntToCString(int, v8::internal::Vector<char>)
    176    5.1%    5.1%  v8::internal::Heap::AllocateRawOneByteString(int, v8::internal::PretenureFlag)
    152    4.4%    4.4%  v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
    132    3.8%    3.9%  v8::internal::LargeObjectSpace::AllocateRaw(int, v8::internal::Executability)
    125    3.6%    3.6%  v8::internal::Factory::SetNumberStringCache(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::String>)
     98    2.8%    2.9%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     97    2.8%    2.8%  strlen
     76    2.2%    2.2%  v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
     69    2.0%    2.0%  v8::internal::Factory::NewStringFromOneByte(v8::internal::Vector<unsigned char const>, v8::internal::PretenureFlag)
     63    1.8%    1.8%  v8::internal::Factory::NumberToString(v8::internal::Handle<v8::internal::Object>, bool)
     57    1.6%    1.7%  v8::internal::Factory::NewRawOneByteString(int, v8::internal::PretenureFlag)
     40    1.2%    1.2%  v8::internal::PagedSpace::AllocateRawUnaligned(int, v8::internal::PagedSpace::UpdateSkipList)
     40    1.2%    1.2%  v8::internal::IncrementalMarkingMarkingVisitor::VisitFixedArrayIncremental(v8::internal::Map*, v8::internal::HeapObject*)
     40    1.2%    1.2%  v8::internal::Factory::GetNumberStringCache(v8::internal::Handle<v8::internal::Object>)
     40    1.2%    1.2%  node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     31    0.9%    0.9%  v8::internal::Runtime_NumberToString(int, v8::internal::Object**, v8::internal::Isolate*)
     26    0.8%    0.8%  v8::internal::Space::AllocationStep(unsigned char*, int)
     20    0.6%    0.6%  v8::internal::IncrementalMarking::RecordWriteSlow(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object*)
     14    0.4%    0.4%  v8::internal::Heap::RecordWrite(v8::internal::Object*, int, v8::internal::Object*)
     13    0.4%    0.4%  v8::internal::MemoryChunkIterator::next()
     13    0.4%    0.4%  _init
     12    0.3%    0.4%  v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
     12    0.3%    0.4%  v8::internal::BitVector::Iterator::Advance()
     11    0.3%    0.3%  write
      8    0.2%    0.2%  v8::internal::compiler::CodeAssemblerLabel::UpdateVariablesAfterBind()
      8    0.2%    0.2%  v8::internal::Zone::New(unsigned long)
      7    0.2%    0.2%  v8::internal::compiler::LinearScanAllocator::FindFreeRegistersForRange(v8::internal::compiler::LiveRange*, v8::internal::Vector<v8::internal::compiler::LifetimePosition>)
      7    0.2%    0.2%  v8::internal::Heap::FullSizeNumberStringCacheLength()
